freq_mhz,step,ue_id,prx_dbm,prx_dbm_theo
3500.0,65,2,-79.24726098517873,-55.02343556224304
3500.0,65,3,-73.97365433009048,-51.55106730460007
3500.0,65,4,-83.96021738254325,-54.92427754286824
3500.0,66,0,-73.07876658105232,-48.32880439373824
3500.0,66,1,-79.9236496686038,-56.49943141444305
3500.0,66,2,-79.17021552016598,-54.94742670612443
3500.0,66,3,-73.89303061184363,-51.478156422469695
3500.0,66,4,-83.88126350741103,-54.953399398239156
3500.0,67,0,-72.94482836043014,-48.46152667230709
3500.0,67,1,-79.96416073212225,-56.54836572378968
3500.0,67,2,-79.09364812165859,-54.87083619895609
3500.0,67,3,-73.82576951333968,-51.4048794698698
3500.0,67,4,-84.17926238545455,-54.98323404528206
3500.0,68,0,-73.10318726623542,-48.59458816324651
3500.0,68,1,-80.00471172991922,-56.597299446248364
3500.0,68,2,-79.01522664631877,-54.79365098675164
3500.0,68,3,-73.76515567715971,-51.330879035868506
3500.0,68,4,-84.05304469372587,-55.013758430464364
3500.0,69,0,-73.5197965917198,-48.727734799154106
3500.0,69,1,-80.04936643733487,-56.64621526836116
3500.0,69,2,-78.95606951202949,-54.71584923796033
3500.0,69,3,-73.69687129111594,-51.25622193996624
3500.0,69,4,-83.92896519439586,-55.044939947745625
3500.0,70,0,-73.66646009423788,-48.86084863096363
3500.0,70,1,-80.09394982736923,-56.69511309053015
3500.0,70,2,-78.87645694909384,-54.637426917727836
3500.0,70,3,-73.63559434805639,-51.181039179681655
3500.0,70,4,-83.8012247261556,-55.07676921187685
3500.0,71,0,-73.57721599999493,-48.99374225029965
3500.0,71,1,-80.1382337015334,-56.74398030278964
3500.0,71,2,-78.79603784906442,-54.55836695658582
3500.0,71,3,-73.57474661404474,-51.105433338576574
3500.0,71,4,-83.67059904166732,-55.109219402811235
3500.0,72,0,-73.73215885177544,-49.12637142718968
3500.0,72,1,-80.18263118738965,-56.79282410821649
3500.0,72,2,-78.71481446164483,-54.47867443392291
3500.0,72,3,-73.51318674635087,-51.0290756594122
3500.0,72,4,-83.5449267260016,-55.14229100874922
3500.0,73,0,-73.88787802689487,-49.258534695890646
3500.0,73,1,-80.21560491916516,-56.84162578481733
3500.0,73,2,-78.63055231058055,-54.39832257905091
3500.0,73,3,-73.45100532719442,-50.952066088260096
3500.0,73,4,-83.31631334737345,-55.175948030900884
3500.0,74,0,-74.04254141298695,-49.39017578866491
3500.0,74,1,-80.26205633288379,-56.89038738433
3500.0,74,2,-78.54995703164363,-54.31730911712622
3500.0,74,3,-73.38824254022185,-50.87457434556765
3500.0,74,4,-83.29573585683553,-55.21018316763924
3500.0,75,0,-74.19613415433047,-49.52119359121616
3500.0,75,1,-80.30245280224703,-56.93910214983219
3500.0,75,2,-78.4662269333063,-54.235622240579715
3500.0,75,3,-73.3248894803248,-50.7967407425394
3500.0,75,4,-83.0735944741975,-55.244977312873424
3500.0,76,0,-74.34859733332063,-49.6514979559654
3500.0,76,1,-80.34239829501969,-56.98776375007098
3500.0,76,2,-78.38107759040795,-54.1532483887893
3500.0,76,3,-73.2610867730335,-50.71823201304767
3500.0,76,4,-82.97154822506413,-55.28031099573886
3500.0,77,0,-74.49982863662187,-49.78100221759833
3500.0,77,1,-80.38192086161628,-57.03636462417487
3500.0,77,2,-78.29692225653406,-54.070171825099465
3500.0,77,3,-73.19673037075474,-50.639190911876895
3500.0,77,4,-82.85414790860199,-55.31616304788362
3500.0,78,0,-74.64978795069642,-49.909664943411975
3500.0,78,1,-80.35120008361378,-57.08490350681813
3500.0,78,2,-78.56184366127378,-53.98638664357872
3500.0,78,3,-73.13226428820117,-50.55977762862773
3500.0,78,4,-82.73867366467502,-55.35252123684513
3500.0,79,0,-74.79838218417223,-50.03739727050892
3500.0,79,1,-80.4729526271353,-57.1333697534623
3500.0,79,2,-78.4455472856822,-53.90187179979594
3500.0,79,3,-73.05458960962753,-50.48010383494395
3500.0,79,4,-82.62412923253657,-55.389359623688165
3500.0,80,0,-74.9456537643099,-50.16418574694404
3500.0,80,1,-80.50713032141685,-57.1817650781555
3500.0,80,2,-78.3791222262713,-53.816623214550305
3500.0,80,3,-72.93974367972196,-50.40031394982846
3500.0,80,4,-82.48895683878972,-55.426669769080895
3500.0,81,0,-75.09269702445103,-50.28994803499509
3500.0,81,1,-80.53762846977943,-57.23007688851086
3500.0,81,2,-78.2852597293268,-53.73061824493932
3500.0,81,3,-72.87368642982801,-50.32008939682615
3500.0,81,4,-81.55553678246322,-55.46442343107866
3500.0,82,0,-75.23711883294739,-50.41469055784413
3500.0,82,1,-80.56982092022913,-57.278308995497
3500.0,82,2,-78.16479033122208,-53.643854409684806
3500.0,82,3,-72.80825482200112,-50.23958828512988
3500.0,82,4,-81.04951037782979,-55.50261492126435
