freq_mhz,step,ue_id,sinr_eff_db,prx_dbm,se_la,se_shannon,se_gap_pct,tbler_step,tbler_running
3500.0,25,1,30.0,-54.8470338770761,5.5546875,9.967226028442383,44.270477220550674,0.0,0.0
3500.0,26,0,30.0,-47.69134029554232,5.5546875,9.967226028442383,44.270477220550674,0.0,0.0
3500.0,26,1,30.0,-53.0273476065224,5.5546875,9.967226028442383,44.270477220550674,0.0,0.0
3500.0,27,0,30.0,-49.01032867170615,5.5546875,9.967226028442383,44.270477220550674,0.0,0.0
3500.0,27,1,-30.0,-51.02665260029738,0.0,0.0014419741928577423,100.0,,0.0
3500.0,28,0,30.0,-48.57781081218579,5.5546875,9.967226028442383,44.270477220550674,0.0,0.0
3500.0,28,1,30.0,-50.87835446398543,5.5546875,9.967226028442383,44.270477220550674,0.0,0.0
3500.0,29,0,30.0,-48.73642514406511,5.5546875,9.967226028442383,44.270477220550674,0.0,0.0
3500.0,29,1,30.0,-52.13401246055163,5.5546875,9.967226028442383,44.270477220550674,0.0,0.0
3500.0,30,0,30.0,-48.486972340136845,5.5546875,9.967226028442383,44.270477220550674,0.0,0.0
3500.0,30,1,30.0,-51.81508858828167,5.5546875,9.967226028442383,44.270477220550674,0.0,0.0
3500.0,31,0,30.0,-46.37115596009812,5.5546875,9.967226028442383,44.270477220550674,0.0,0.0
3500.0,31,1,-30.0,-52.16014638778344,0.0,0.0014419741928577423,100.0,,0.0
3500.0,32,0,-30.0,-47.68131266683238,0.0,0.0014419741928577423,100.0,,0.0
